date,origin_station,day_type,ridership
2016-01-01,,Holiday,
2016-01-02,,Saturday,
2016-01-03,,Sunday,
2016-01-04,,Weekday,
2016-01-05,,Weekday,
2016-01-06,,Weekday,
2016-01-07,,Weekday,
2016-01-08,,Weekday,
2016-01-09,,Saturday,
2016-01-10,,Sunday,
2016-01-11,,Weekday,
2016-01-12,,Weekday,
2016-01-13,,Weekday,
2016-01-14,,Weekday,
2016-01-15,,Weekday,
2016-01-16,,Saturday,
2016-01-17,,Sunday,
2016-01-18,,Holiday,
2016-01-19,,Weekday,
2016-01-20,,Weekday,
2016-01-21,,Weekday,
2016-01-22,,Weekday,
2016-01-23,,Saturday,
2016-01-24,,Sunday,
2016-01-25,,Weekday,
2016-01-26,,Weekday,
2016-01-27,,Weekday,
2016-01-28,,Weekday,
2016-01-29,,Weekday,
2016-01-30,,Saturday,
2016-01-31,,Sunday,
2016-02-01,,Weekday,
2016-02-02,,Weekday,
2016-02-03,,Weekday,
2016-02-04,,Weekday,
2016-02-05,,Weekday,
2016-02-06,,Saturday,
2016-02-07,,Sunday,
2016-02-08,,Weekday,
2016-02-09,,Weekday,
2016-02-10,,Weekday,
2016-02-11,,Weekday,
2016-02-12,,Weekday,
2016-02-13,,Saturday,
2016-02-14,,Sunday,
2016-02-15,,Holiday,
2016-02-16,,Weekday,
2016-02-17,,Weekday,
2016-02-18,,Weekday,
2016-02-19,,Weekday,
2016-02-20,,Saturday,
2016-02-21,,Sunday,
2016-02-22,,Weekday,
2016-02-23,,Weekday,
2016-02-24,,Weekday,
2016-02-25,,Weekday,
2016-02-26,,Weekday,
2016-02-27,,Saturday,
2016-02-28,,Sunday,
2016-02-29,,Weekday,
2016-03-01,,Weekday,
2016-03-02,,Weekday,
2016-03-03,,Weekday,
2016-03-04,,Weekday,
2016-03-05,,Saturday,
2016-03-06,,Sunday,
2016-03-07,,Weekday,
2016-03-08,,Weekday,
2016-03-09,,Weekday,
2016-03-10,,Weekday,
2016-03-11,,Weekday,
2016-03-12,,Saturday,
2016-03-13,,Sunday,
2016-03-14,,Weekday,
2016-03-15,,Weekday,
2016-03-16,,Weekday,
2016-03-17,,Weekday,
2016-03-18,,Weekday,
2016-03-19,,Saturday,
2016-03-20,,Sunday,
2016-03-21,,Weekday,
2016-03-22,,Weekday,
2016-03-23,,Weekday,
2016-03-24,,Weekday,
2016-03-25,,Weekday,
2016-03-26,,Saturday,
2016-03-27,,Sunday,
2016-03-28,,Weekday,
2016-03-29,,Weekday,
2016-03-30,,Weekday,
2016-03-31,,Weekday,
2016-04-01,,Weekday,
2016-04-02,,Saturday,
2016-04-03,,Sunday,
2016-04-04,,Weekday,
2016-04-05,,Weekday,
2016-04-06,,Weekday,
2016-04-07,,Weekday,
2016-04-08,,Weekday,
2016-04-09,,Saturday,
2016-04-10,,Sunday,
2016-04-11,,Weekday,
2016-04-12,,Weekday,
2016-04-13,,Weekday,
2016-04-14,,Weekday,
2016-04-15,,Weekday,
2016-04-16,,Saturday,
2016-04-17,,Sunday,
2016-04-18,,Weekday,
2016-04-19,,Weekday,
2016-04-20,,Weekday,
2016-04-21,,Weekday,
2016-04-22,,Weekday,
2016-04-23,,Saturday,
2016-04-24,,Sunday,
2016-04-25,,Weekday,
2016-04-26,,Weekday,
2016-04-27,,Weekday,
2016-04-28,,Weekday,
2016-04-29,,Weekday,
2016-04-30,,Saturday,
2016-05-01,,Sunday,
2016-05-02,,Weekday,
2016-05-03,,Weekday,
2016-05-04,,Weekday,
2016-05-05,,Weekday,
2016-05-06,,Weekday,
2016-05-07,,Saturday,
2016-05-08,,Sunday,
2016-05-09,,Weekday,
2016-05-10,,Weekday,
2016-05-11,,Weekday,
2016-05-12,,Weekday,
2016-05-13,,Weekday,
2016-05-14,,Saturday,
2016-05-15,,Sunday,
2016-05-16,,Weekday,
2016-05-17,,Weekday,
2016-05-18,,Weekday,
2016-05-19,,Weekday,
2016-05-20,,Weekday,
2016-05-21,,Saturday,
2016-05-22,,Sunday,
2016-05-23,,Weekday,
2016-05-24,,Weekday,
2016-05-25,,Weekday,
2016-05-26,,Weekday,
2016-05-27,,Weekday,
2016-05-28,,Saturday,
2016-05-29,,Sunday,
2016-05-30,,Holiday,
2016-05-31,,Weekday,
2016-06-01,,Weekday,
2016-06-02,,Weekday,
2016-06-03,,Weekday,
2016-06-04,,Saturday,
2016-06-05,,Sunday,
2016-06-06,,Weekday,
2016-06-07,,Weekday,
2016-06-08,,Weekday,
2016-06-09,,Weekday,
2016-06-10,,Weekday,
2016-06-11,,Saturday,
2016-06-12,,Sunday,
2016-06-13,,Weekday,
2016-06-14,,Weekday,
2016-06-15,,Weekday,
2016-06-16,,Weekday,
2016-06-17,,Weekday,
2016-06-18,,Saturday,
2016-06-19,,Sunday,
2016-06-20,,Weekday,
2016-06-21,,Weekday,
2016-06-22,,Weekday,
2016-06-23,,Weekday,
2016-06-24,,Weekday,
2016-06-25,,Saturday,
2016-06-26,,Sunday,
2016-06-27,,Weekday,
2016-06-28,,Weekday,
2016-06-29,,Weekday,
2016-06-30,,Weekday,
2016-07-01,,Weekday,
2016-07-02,,Saturday,
2016-07-03,,Sunday,
2016-07-04,,Holiday,
2016-07-05,,Weekday,
2016-07-06,,Weekday,
2016-07-07,,Weekday,
2016-07-08,,Weekday,
2016-07-09,,Saturday,
2016-07-10,,Sunday,
2016-07-11,,Weekday,
2016-07-12,,Weekday,
2016-07-13,,Weekday,
2016-07-14,,Weekday,
2016-07-15,,Weekday,
2016-07-16,,Saturday,
2016-07-17,,Sunday,
2016-07-18,,Weekday,
2016-07-19,,Weekday,
2016-07-20,,Weekday,
2016-07-21,,Weekday,
2016-07-22,,Weekday,
2016-07-23,,Saturday,
2016-07-24,,Sunday,
2016-07-25,,Weekday,
2016-07-26,,Weekday,
2016-07-27,,Weekday,
2016-07-28,,Weekday,
2016-07-29,,Weekday,
2016-07-30,,Saturday,
2016-07-31,,Sunday,
2016-08-01,,Weekday,
2016-08-02,,Weekday,
2016-08-03,,Weekday,
2016-08-04,,Weekday,
2016-08-05,,Weekday,
2016-08-06,,Saturday,
2016-08-07,,Sunday,
2016-08-08,,Weekday,
2016-08-09,,Weekday,
2016-08-10,,Weekday,
2016-08-11,,Weekday,
2016-08-12,,Weekday,
2016-08-13,,Saturday,
2016-08-14,,Sunday,
2016-08-15,,Weekday,
2016-08-16,,Weekday,
2016-08-17,,Weekday,
2016-08-18,,Weekday,
2016-08-19,,Weekday,
2016-08-20,,Saturday,
2016-08-21,,Sunday,
2016-08-22,,Weekday,
2016-08-23,,Weekday,
2016-08-24,,Weekday,
2016-08-25,,Weekday,
2016-08-26,,Weekday,
2016-08-27,,Saturday,
2016-08-28,,Sunday,
2016-08-29,,Weekday,
2016-08-30,,Weekday,
2016-08-31,,Weekday,
2016-09-01,,Weekday,
2016-09-02,,Weekday,
2016-09-03,,Saturday,
2016-09-04,,Sunday,
2016-09-05,,Holiday,
2016-09-06,,Weekday,
2016-09-07,,Weekday,
2016-09-08,,Weekday,
2016-09-09,,Weekday,
2016-09-10,,Saturday,
2016-09-11,,Sunday,
2016-09-12,,Weekday,
2016-09-13,,Weekday,
2016-09-14,,Weekday,
2016-09-15,,Weekday,
2016-09-16,,Weekday,
2016-09-17,,Saturday,
2016-09-18,,Sunday,
2016-09-19,,Weekday,
2016-09-20,,Weekday,
2016-09-21,,Weekday,
2016-09-22,,Weekday,
2016-09-23,,Weekday,
2016-09-24,,Saturday,
2016-09-25,,Sunday,
2016-09-26,,Weekday,
2016-09-27,,Weekday,
2016-09-28,,Weekday,
2016-09-29,,Weekday,
2016-09-30,,Weekday,
2016-10-01,,Saturday,
2016-10-02,,Sunday,
2016-10-03,,Weekday,
2016-10-04,,Weekday,
2016-10-05,,Weekday,
2016-10-06,,Weekday,
2016-10-07,,Weekday,
2016-10-08,,Saturday,
2016-10-09,,Sunday,
2016-10-10,,Weekday,
2016-10-11,,Weekday,
2016-10-12,,Weekday,
2016-10-13,,Weekday,
2016-10-14,,Weekday,
2016-10-15,,Saturday,
2016-10-16,,Sunday,
2016-10-17,,Weekday,
2016-10-18,,Weekday,
2016-10-19,,Weekday,
2016-10-20,,Weekday,
2016-10-21,,Weekday,
2016-10-22,,Saturday,
2016-10-23,,Sunday,
2016-10-24,,Weekday,
2016-10-25,,Weekday,
2016-10-26,,Weekday,
2016-10-27,,Weekday,
2016-10-28,,Weekday,
2016-10-29,,Saturday,
2016-10-30,,Sunday,
2016-10-31,,Weekday,
2016-11-01,,Weekday,
2016-11-02,,Weekday,
2016-11-03,,Weekday,
2016-11-04,,Weekday,
2016-11-05,,Saturday,
2016-11-06,,Sunday,
2016-11-07,,Weekday,
2016-11-08,,Weekday,
2016-11-09,,Weekday,
2016-11-10,,Weekday,
2016-11-11,,Weekday,
2016-11-12,,Saturday,
2016-11-13,,Sunday,
2016-11-14,,Weekday,
2016-11-15,,Weekday,
2016-11-16,,Weekday,
2016-11-17,,Weekday,
2016-11-18,,Weekday,
2016-11-19,,Saturday,
2016-11-20,,Sunday,
2016-11-21,,Weekday,
2016-11-22,,Weekday,
2016-11-23,,Weekday,
2016-11-24,,Holiday,
2016-11-25,,Saturday,
2016-11-26,,Saturday,
2016-11-27,,Sunday,
2016-11-28,,Weekday,
2016-11-29,,Weekday,
2016-11-30,,Weekday,
2016-12-01,,Weekday,
2016-12-02,,Weekday,
2016-12-03,,Saturday,
2016-12-04,,Sunday,
2016-12-05,,Weekday,
2016-12-06,,Weekday,
2016-12-07,,Weekday,
2016-12-08,,Weekday,
2016-12-09,,Weekday,
2016-12-10,,Saturday,
2016-12-11,,Sunday,
2016-12-12,,Weekday,
2016-12-13,,Weekday,
2016-12-14,,Weekday,
2016-12-15,,Weekday,
2016-12-16,,Weekday,
2016-12-17,,Saturday,
2016-12-18,,Sunday,
2016-12-19,,Weekday,
2016-12-20,,Weekday,
2016-12-21,,Weekday,
2016-12-22,,Weekday,
2016-12-23,,Weekday,
2016-12-24,,Saturday,
2016-12-25,,Holiday,
2016-12-26,,Weekday,
2016-12-27,,Weekday,
2016-12-28,,Weekday,
2016-12-29,,Weekday,
2016-12-30,,Weekday,
2016-12-31,,Saturday,
