train,station,on,off,onboard
101,Gilroy,0.0,0.0,0.0
101,San Martin,0.0,0.0,0.0
101,Morgan Hill,0.0,0.0,0.0
101,Blossom Hill,0.0,0.0,0.0
101,Capitol,0.0,0.0,0.0
101,Tamien,0.0,0.0,0.0
101,San Jose Diridon,12.5,0.0,12.5
101,College Park,0.0,0.0,12.5
101,Santa Clara,7.5,1.0,19.0
101,Lawrence,10.5,0.5,29.0
101,Sunnyvale,11.5,1.0,39.5
101,Mountain View,6.5,0.0,46.0
101,San Antonio,2.5,1.0,47.5
101,California Ave.,2.0,1.5,48.0
101,Palo Alto,3.0,5.0,46.0
101,Menlo Park,1.0,2.5,44.5
101,Redwood City,12.5,1.5,55.5
101,San Carlos,4.5,1.5,58.5
101,Belmont,4.0,0.5,62.0
101,Hillsdale,14.5,1.5,75.0
101,Bay Meadows,0.0,0.0,75.0
101,Hayward Park,2.5,1.0,76.5
101,San Mateo,9.0,0.5,85.0
101,Burlingame,4.0,2.5,86.5
101,Millbrae,4.5,15.5,75.5
101,San Bruno,3.0,3.5,75.0
101,South SF,2.0,2.0,75.0
101,Bayshore,0.5,2.0,73.5
101,22nd Street,10.5,4.0,80.0
101,San Francisco,0.0,80.0,0.0
103,Gilroy,0.0,0.0,0.0
103,San Martin,0.0,0.0,0.0
103,Morgan Hill,0.0,0.0,0.0
103,Blossom Hill,0.0,0.0,0.0
103,Capitol,0.0,0.0,0.0
103,Tamien,14.5,0.0,14.5
103,San Jose Diridon,24.5,0.0,39.0
103,College Park,0.0,0.0,39.0
103,Santa Clara,5.5,0.0,44.5
103,Lawrence,9.0,0.5,53.0
103,Sunnyvale,14.5,2.0,65.5
103,Mountain View,6.5,0.5,71.5
103,San Antonio,1.5,0.0,73.0
103,California Ave.,3.0,6.0,70.0
103,Palo Alto,4.5,30.0,44.5
103,Menlo Park,6.5,4.0,47.0
103,Redwood City,21.0,2.0,66.0
103,San Carlos,8.5,3.5,71.0
103,Belmont,7.5,0.0,78.5
103,Hillsdale,16.5,1.5,93.5
103,Bay Meadows,0.0,0.0,93.5
103,Hayward Park,1.5,3.5,91.5
103,San Mateo,10.0,1.5,100.0
103,Burlingame,19.5,1.5,118.0
103,Millbrae,6.5,20.5,104.0
103,San Bruno,24.0,4.5,123.5
103,South SF,2.0,8.0,117.5
103,Bayshore,0.0,3.0,114.5
103,22nd Street,3.0,7.5,110.0
103,San Francisco,0.0,110.0,0.0
305,Gilroy,0.0,0.0,0.0
305,San Martin,0.0,0.0,0.0
305,Morgan Hill,0.0,0.0,0.0
305,Blossom Hill,0.0,0.0,0.0
305,Capitol,0.0,0.0,0.0
305,Tamien,0.0,0.0,0.0
305,San Jose Diridon,179.5,0.0,179.5
305,College Park,0.0,0.0,179.5
305,Santa Clara,0.0,0.0,179.5
305,Lawrence,0.0,0.0,179.5
305,Sunnyvale,0.0,0.0,179.5
305,Mountain View,107.5,2.0,285.0
305,San Antonio,0.0,0.0,285.0
305,California Ave.,0.0,0.0,285.0
305,Palo Alto,48.5,66.0,267.5
305,Menlo Park,0.0,0.0,267.5
305,Redwood City,0.0,0.0,267.5
305,San Carlos,0.0,0.0,267.5
305,Belmont,0.0,0.0,267.5
305,Hillsdale,64.0,9.0,322.5
305,Bay Meadows,0.0,0.0,322.5
305,Hayward Park,0.0,0.0,322.5
305,San Mateo,0.0,0.0,322.5
305,Burlingame,0.0,0.0,322.5
305,Millbrae,19.5,33.0,309.0
305,San Bruno,0.0,0.0,309.0
305,South SF,0.0,0.0,309.0
305,Bayshore,0.0,0.0,309.0
305,22nd Street,0.0,0.0,309.0
305,San Francisco,0.0,309.0,0.0
207,Gilroy,0.0,0.0,0.0
207,San Martin,0.0,0.0,0.0
207,Morgan Hill,0.0,0.0,0.0
207,Blossom Hill,0.0,0.0,0.0
207,Capitol,0.0,0.0,0.0
207,Tamien,12.5,0.0,12.5
207,San Jose Diridon,22.5,1.5,33.5
207,College Park,0.0,0.0,33.5
207,Santa Clara,31.0,0.0,64.5
207,Lawrence,27.0,3.5,88.0
207,Sunnyvale,49.0,0.0,137.0
207,Mountain View,75.0,5.0,207.0
207,San Antonio,36.0,3.0,240.0
207,California Ave.,33.0,8.0,265.0
207,Palo Alto,28.5,48.0,245.5
207,Menlo Park,51.0,19.5,277.0
207,Redwood City,93.0,19.0,351.0
207,San Carlos,0.0,0.0,351.0
207,Belmont,0.0,0.0,351.0
207,Hillsdale,127.0,18.5,459.5
207,Bay Meadows,0.0,0.0,459.5
207,Hayward Park,0.0,0.0,459.5
207,San Mateo,0.0,0.0,459.5
207,Burlingame,0.0,0.0,459.5
207,Millbrae,33.0,46.5,446.0
207,San Bruno,0.0,0.0,446.0
207,South SF,14.5,30.5,430.0
207,Bayshore,0.0,0.0,430.0
207,22nd Street,0.0,0.0,430.0
207,San Francisco,0.0,430.0,0.0
309,Gilroy,0.0,0.0,0.0
309,San Martin,0.0,0.0,0.0
309,Morgan Hill,0.0,0.0,0.0
309,Blossom Hill,0.0,0.0,0.0
309,Capitol,0.0,0.0,0.0
309,Tamien,156.0,0.0,156.0
309,San Jose Diridon,158.5,0.0,314.5
309,College Park,0.0,0.0,314.5
309,Santa Clara,0.0,0.0,314.5
309,Lawrence,0.0,0.0,314.5
309,Sunnyvale,197.0,6.0,505.5
309,Mountain View,0.0,0.0,505.5
309,San Antonio,0.0,0.0,505.5
309,California Ave.,0.0,0.0,505.5
309,Palo Alto,49.0,135.5,419.0
309,Menlo Park,0.0,0.0,419.0
309,Redwood City,95.5,34.5,480.0
309,San Carlos,0.0,0.0,480.0
309,Belmont,0.0,0.0,480.0
309,Hillsdale,0.0,0.0,480.0
309,Bay Meadows,0.0,0.0,480.0
309,Hayward Park,0.0,0.0,480.0
309,San Mateo,86.0,13.5,552.5
309,Burlingame,0.0,0.0,552.5
309,Millbrae,17.0,52.0,517.5
309,San Bruno,0.0,0.0,517.5
309,South SF,0.0,0.0,517.5
309,Bayshore,0.0,0.0,517.5
309,22nd Street,0.0,0.0,517.5
309,San Francisco,0.0,517.5,0.0
211,Gilroy,0.0,0.0,0.0
211,San Martin,0.0,0.0,0.0
211,Morgan Hill,0.0,0.0,0.0
211,Blossom Hill,0.0,0.0,0.0
211,Capitol,0.0,0.0,0.0
211,Tamien,0.0,0.0,0.0
211,San Jose Diridon,66.5,0.0,66.5
211,College Park,0.0,0.0,66.5
211,Santa Clara,22.0,0.0,88.5
211,Lawrence,21.0,0.0,109.5
211,Sunnyvale,53.0,1.0,161.5
211,Mountain View,25.5,15.0,172.0
211,San Antonio,0.0,0.0,172.0
211,California Ave.,11.5,11.0,172.5
211,Palo Alto,0.0,0.0,172.5
211,Menlo Park,13.0,28.0,157.5
211,Redwood City,42.0,18.0,181.5
211,San Carlos,17.5,24.0,175.0
211,Belmont,29.5,15.0,189.5
211,Hillsdale,31.5,8.5,212.5
211,Bay Meadows,0.0,0.0,212.5
211,Hayward Park,30.0,10.0,232.5
211,San Mateo,41.5,19.0,255.0
211,Burlingame,54.5,11.0,298.5
211,Millbrae,8.0,65.0,241.5
211,San Bruno,31.0,14.0,258.5
211,South SF,14.0,20.5,252.0
211,Bayshore,12.5,10.0,254.5
211,22nd Street,2.5,32.0,225.0
211,San Francisco,0.0,225.0,0.0
313,Gilroy,0.0,0.0,0.0
313,San Martin,0.0,0.0,0.0
313,Morgan Hill,0.0,0.0,0.0
313,Blossom Hill,0.0,0.0,0.0
313,Capitol,0.0,0.0,0.0
313,Tamien,0.0,0.0,0.0
313,San Jose Diridon,500.5,0.0,500.5
313,College Park,0.0,0.0,500.5
313,Santa Clara,0.0,0.0,500.5
313,Lawrence,0.0,0.0,500.5
313,Sunnyvale,0.0,0.0,500.5
313,Mountain View,283.5,12.0,772.0
313,San Antonio,0.0,0.0,772.0
313,California Ave.,0.0,0.0,772.0
313,Palo Alto,130.0,209.5,692.5
313,Menlo Park,0.0,0.0,692.5
313,Redwood City,0.0,0.0,692.5
313,San Carlos,0.0,0.0,692.5
313,Belmont,0.0,0.0,692.5
313,Hillsdale,158.0,29.0,821.5
313,Bay Meadows,0.0,0.0,821.5
313,Hayward Park,0.0,0.0,821.5
313,San Mateo,0.0,0.0,821.5
313,Burlingame,0.0,0.0,821.5
313,Millbrae,47.5,73.0,796.0
313,San Bruno,0.0,0.0,796.0
313,South SF,0.0,0.0,796.0
313,Bayshore,0.0,0.0,796.0
313,22nd Street,0.0,0.0,796.0
313,San Francisco,0.0,796.0,0.0
215,Gilroy,0.0,0.0,0.0
215,San Martin,0.0,0.0,0.0
215,Morgan Hill,0.0,0.0,0.0
215,Blossom Hill,0.0,0.0,0.0
215,Capitol,0.0,0.0,0.0
215,Tamien,0.0,0.0,0.0
215,San Jose Diridon,154.5,0.0,154.5
215,College Park,0.0,0.0,154.5
215,Santa Clara,0.0,0.0,154.5
215,Lawrence,0.0,0.0,154.5
215,Sunnyvale,251.5,2.5,403.5
215,Mountain View,82.5,6.5,479.5
215,San Antonio,0.0,0.0,479.5
215,California Ave.,59.0,27.0,511.5
215,Palo Alto,66.0,87.5,490.0
215,Menlo Park,0.0,0.0,490.0
215,Redwood City,0.0,0.0,490.0
215,San Carlos,107.0,53.0,544.0
215,Belmont,0.0,0.0,544.0
215,Hillsdale,93.5,28.5,609.0
215,Bay Meadows,0.0,0.0,609.0
215,Hayward Park,0.0,0.0,609.0
215,San Mateo,105.0,18.0,696.0
215,Burlingame,102.0,11.0,787.0
215,Millbrae,0.0,0.0,787.0
215,San Bruno,39.0,16.0,810.0
215,South SF,0.0,0.0,810.0
215,Bayshore,0.0,0.0,810.0
215,22nd Street,0.0,0.0,810.0
215,San Francisco,0.0,810.0,0.0
217,Gilroy,82.5,0.0,82.5
217,San Martin,24.5,0.0,107.0
217,Morgan Hill,64.5,0.5,171.0
217,Blossom Hill,29.5,0.5,200.0
217,Capitol,19.0,0.0,219.0
217,Tamien,33.0,99.0,153.0
217,San Jose Diridon,33.5,5.0,181.5
217,College Park,0.0,0.0,181.5
217,Santa Clara,87.5,11.0,258.0
217,Lawrence,69.0,24.0,303.0
217,Sunnyvale,112.0,6.5,408.5
217,Mountain View,139.0,39.0,508.5
217,San Antonio,126.5,21.5,613.5
217,California Ave.,63.5,27.5,649.5
217,Palo Alto,89.5,137.5,601.5
217,Menlo Park,87.5,54.0,635.0
217,Redwood City,187.5,32.0,790.5
217,San Carlos,0.0,0.0,790.5
217,Belmont,0.0,0.0,790.5
217,Hillsdale,218.0,58.5,950.0
217,Bay Meadows,0.0,0.0,950.0
217,Hayward Park,0.0,0.0,950.0
217,San Mateo,0.0,0.0,950.0
217,Burlingame,0.0,0.0,950.0
217,Millbrae,45.5,88.5,907.0
217,San Bruno,0.0,0.0,907.0
217,South SF,32.0,57.5,881.5
217,Bayshore,0.0,0.0,881.5
217,22nd Street,0.0,0.0,881.5
217,San Francisco,0.0,881.5,0.0
319,Gilroy,0.0,0.0,0.0
319,San Martin,0.0,0.0,0.0
319,Morgan Hill,0.0,0.0,0.0
319,Blossom Hill,0.0,0.0,0.0
319,Capitol,0.0,0.0,0.0
319,Tamien,411.0,0.0,411.0
319,San Jose Diridon,290.5,0.0,701.5
319,College Park,0.0,0.0,701.5
319,Santa Clara,0.0,0.0,701.5
319,Lawrence,0.0,0.0,701.5
319,Sunnyvale,245.5,11.0,936.0
319,Mountain View,0.0,0.0,936.0
319,San Antonio,0.0,0.0,936.0
319,California Ave.,0.0,0.0,936.0
319,Palo Alto,92.0,326.5,701.5
319,Menlo Park,0.0,0.0,701.5
319,Redwood City,210.5,100.0,812.0
319,San Carlos,0.0,0.0,812.0
319,Belmont,0.0,0.0,812.0
319,Hillsdale,0.0,0.0,812.0
319,Bay Meadows,0.0,0.0,812.0
319,Hayward Park,0.0,0.0,812.0
319,San Mateo,52.5,17.5,847.0
319,Burlingame,0.0,0.0,847.0
319,Millbrae,56.0,98.0,805.0
319,San Bruno,0.0,0.0,805.0
319,South SF,0.0,0.0,805.0
319,Bayshore,0.0,0.0,805.0
319,22nd Street,0.0,0.0,805.0
319,San Francisco,0.0,805.0,0.0
221,Gilroy,92.5,0.0,92.5
221,San Martin,23.0,0.0,115.5
221,Morgan Hill,70.0,0.0,185.5
221,Blossom Hill,38.0,1.0,222.5
221,Capitol,18.5,1.5,239.5
221,Tamien,92.5,16.5,315.5
221,San Jose Diridon,169.0,25.0,459.5
221,College Park,0.0,0.0,459.5
221,Santa Clara,148.0,7.5,600.0
221,Lawrence,66.5,29.0,637.5
221,Sunnyvale,184.5,26.5,795.5
221,Mountain View,123.0,74.0,844.5
221,San Antonio,0.0,0.0,844.5
221,California Ave.,56.0,73.5,827.0
221,Palo Alto,0.0,0.0,827.0
221,Menlo Park,98.0,160.5,764.5
221,Redwood City,94.5,117.0,742.0
221,San Carlos,55.5,59.5,738.0
221,Belmont,75.0,70.5,742.5
221,Hillsdale,78.0,94.5,726.0
221,Bay Meadows,0.0,0.0,726.0
221,Hayward Park,40.5,65.5,701.0
221,San Mateo,109.5,80.5,730.0
221,Burlingame,83.0,30.5,782.5
221,Millbrae,25.0,210.5,597.0
221,San Bruno,37.5,22.5,612.0
221,South SF,21.5,63.5,570.0
221,Bayshore,27.5,15.0,582.5
221,22nd Street,8.5,49.5,541.5
221,San Francisco,0.0,541.5,0.0
323,Gilroy,0.0,0.0,0.0
323,San Martin,0.0,0.0,0.0
323,Morgan Hill,0.0,0.0,0.0
323,Blossom Hill,0.0,0.0,0.0
323,Capitol,0.0,0.0,0.0
323,Tamien,0.0,0.0,0.0
323,San Jose Diridon,570.5,0.0,570.5
323,College Park,0.0,0.0,570.5
323,Santa Clara,0.0,0.0,570.5
323,Lawrence,0.0,0.0,570.5
323,Sunnyvale,0.0,0.0,570.5
323,Mountain View,360.5,37.0,894.0
323,San Antonio,0.0,0.0,894.0
323,California Ave.,0.0,0.0,894.0
323,Palo Alto,177.0,258.5,812.5
323,Menlo Park,0.0,0.0,812.5
323,Redwood City,0.0,0.0,812.5
323,San Carlos,0.0,0.0,812.5
323,Belmont,0.0,0.0,812.5
323,Hillsdale,191.0,109.5,894.0
323,Bay Meadows,0.0,0.0,894.0
323,Hayward Park,0.0,0.0,894.0
323,San Mateo,0.0,0.0,894.0
323,Burlingame,0.0,0.0,894.0
323,Millbrae,64.0,67.0,891.0
323,San Bruno,0.0,0.0,891.0
323,South SF,0.0,0.0,891.0
323,Bayshore,0.0,0.0,891.0
323,22nd Street,0.0,0.0,891.0
323,San Francisco,0.0,891.0,0.0
225,Gilroy,0.0,0.0,0.0
225,San Martin,0.0,0.0,0.0
225,Morgan Hill,0.0,0.0,0.0
225,Blossom Hill,0.0,0.0,0.0
225,Capitol,0.0,0.0,0.0
225,Tamien,0.0,0.0,0.0
225,San Jose Diridon,156.0,0.0,156.0
225,College Park,0.0,0.0,156.0
225,Santa Clara,0.0,0.0,156.0
225,Lawrence,0.0,0.0,156.0
225,Sunnyvale,381.5,7.5,530.0
225,Mountain View,111.5,20.5,621.0
225,San Antonio,0.0,0.0,621.0
225,California Ave.,86.5,49.0,658.5
225,Palo Alto,89.5,115.0,633.0
225,Menlo Park,0.0,0.0,633.0
225,Redwood City,0.0,0.0,633.0
225,San Carlos,86.5,32.0,687.5
225,Belmont,0.0,0.0,687.5
225,Hillsdale,118.0,39.5,766.0
225,Bay Meadows,0.0,0.0,766.0
225,Hayward Park,0.0,0.0,766.0
225,San Mateo,132.5,38.5,860.0
225,Burlingame,83.0,25.0,918.0
225,Millbrae,0.0,0.0,918.0
225,San Bruno,42.5,18.0,942.5
225,South SF,0.0,0.0,942.5
225,Bayshore,0.0,0.0,942.5
225,22nd Street,0.0,0.0,942.5
225,San Francisco,0.0,942.5,0.0
227,Gilroy,77.0,0.0,77.0
227,San Martin,39.5,0.0,116.5
227,Morgan Hill,102.5,0.5,218.5
227,Blossom Hill,75.5,1.5,292.5
227,Capitol,38.5,1.0,330.0
227,Tamien,45.5,78.0,297.5
227,San Jose Diridon,36.5,22.5,311.5
227,College Park,8.0,56.0,263.5
227,Santa Clara,80.0,20.0,323.5
227,Lawrence,75.0,47.0,351.5
227,Sunnyvale,141.5,21.5,471.5
227,Mountain View,164.5,52.0,584.0
227,San Antonio,120.5,31.5,673.0
227,California Ave.,89.0,65.5,696.5
227,Palo Alto,70.0,170.5,596.0
227,Menlo Park,62.0,48.5,609.5
227,Redwood City,112.5,53.0,669.0
227,San Carlos,0.0,0.0,669.0
227,Belmont,0.0,0.0,669.0
227,Hillsdale,160.5,40.0,789.5
227,Bay Meadows,0.0,0.0,789.5
227,Hayward Park,0.0,0.0,789.5
227,San Mateo,0.0,0.0,789.5
227,Burlingame,0.0,0.0,789.5
227,Millbrae,38.0,61.5,766.0
227,San Bruno,0.0,0.0,766.0
227,South SF,22.0,36.5,751.5
227,Bayshore,0.0,0.0,751.5
227,22nd Street,0.0,0.0,751.5
227,San Francisco,0.0,751.5,0.0
329,Gilroy,0.0,0.0,0.0
329,San Martin,0.0,0.0,0.0
329,Morgan Hill,0.0,0.0,0.0
329,Blossom Hill,0.0,0.0,0.0
329,Capitol,0.0,0.0,0.0
329,Tamien,348.5,0.0,348.5
329,San Jose Diridon,307.5,1.5,654.5
329,College Park,0.0,0.0,654.5
329,Santa Clara,0.0,0.0,654.5
329,Lawrence,0.0,0.0,654.5
329,Sunnyvale,339.5,26.5,967.5
329,Mountain View,0.0,0.0,967.5
329,San Antonio,0.0,0.0,967.5
329,California Ave.,0.0,0.0,967.5
329,Palo Alto,67.5,290.5,744.5
329,Menlo Park,0.0,0.0,744.5
329,Redwood City,173.5,123.0,795.0
